customer_name,customer_email,product_name,issue_description,opening_date,criticality
Marcos Vinícius Oliveira,suporte@edutech.solutions,CourseGen Studio,"Cliente Marcos Vinícius Oliveira da EduTech Solutions identificou problemas críticos de escalabilidade no CourseGen Studio durante campanhas de lançamento de novos cursos. Especificamente, observaram-se picos de uso da CPU e memória da ordem de 40% acima do baseline habitual, ocasionando falhas intermitentes no ambiente de produção. Estes eventos ocorreram predominantemente entre 18h e 22h nos dias com lançamento simultâneo de múltiplos cursos, afetando diretamente aproximadamente 12% da base ativa de usuários concurrentes da plataforma (cerca de 1.200 usuários). O impacto financeiro estimado é uma perda de receita superior a R$ 150.000,00 por campanha devido à indisponibilidade e atrasos na entrega de conteúdos, além de aumento nos custos operacionais por uso excessivo dos recursos cloud e necessidade de suporte emergencial. O problema foi registrado em 3 das últimas 4 campanhas de lançamento, evidenciando fragilidades na arquitetura de microservices e no balanceamento automático via Kubernetes HPA, especialmente na orquestração e escalonamento das instâncias de geração IA e backend FastAPI. Logs estruturados do ELK Stack indicam aumento significativo nas latências de resposta (até 4 vezes o tempo médio normal) e erros de timeout nas APIs entre as 18h e 22h, correlacionados com picos elevados de requisições simultâneas durante o processo automatizado de criação e exportação de cursos.",2025-04-15,Alta
Fernanda Oliveira Schmidt,fernanda.schmidt@eductech.io,CourseGen Studio,"Identificamos falhas intermitentes no módulo de versionamento do material pedagógico, afetando especificamente o cliente EducTech Ltda. O problema resulta em perda de alterações recentes em aproximadamente 10% dos projetos de cursos, manifestando-se principalmente após atualizações via prompts adaptativos. Foram registrados 24 incidentes nas últimas 3 semanas, concentrados majoritariamente entre 14:00 e 17:00 horas, período de pico para operações de atualização de conteúdo. O impacto financeiro estimado para EducTech é da ordem de R$ 45.000,00 devido a retrabalho e atrasos na entrega dos cursos para clientes finais. A análise técnica preliminar sugere inconsistências na aplicação do versionamento contínuo via Git interno, possivelmente associadas a conflitos de merge não detectados em mudanças simultâneas feitas por múltiplos editores em ambientes de cluster Kubernetes. O monitoramento com Prometheus indicou picos de latência acima de 350ms no serviço de versionamento durante os horários críticos, ultrapassando o threshold de alerta configurado em 200ms, o que pode estar contribuindo para a perda de commits e falhas no registro das alterações. Recomendamos investigação aprofundada no serviço de orquestração e revisão dos mecanismos de lock na aplicação para garantir integridade das versões.",2025-05-10,Alta
Lucas Henrique Silva,lucas.silva@bancoconsulta.com.br,RiskGen,"Identificamos um problema crítico relacionado à autenticação e controle de acesso no RiskGen que tem permitido acessos indevidos a informações confidenciais. Aproximadamente 5% dos logins realizados nos últimos 30 dias apresentaram falhas no módulo de autenticação multifator (MFA), resultando em sessões autenticadas com privilégios excedentes não autorizados. Esse problema foi detectado em 12 eventos distintos, concentrados principalmente entre 18h e 22h, horários de pico de uso do sistema. O impacto financeiro estimado devido a potenciais vazamentos e auditorias corretivas ultrapassa R$ 1,2 milhões, considerando multas regulatórias e custos operacionais. Além disso, a falha compromete a conformidade com políticas de segurança interna e normas regulatórias, configurando risco elevado para o cliente. É urgente a correção desse bug no componente de autorização de usuários e reforço nas políticas de segregação de funções (SoD) para evitar escalonamento indevido de privilégios.",2025-04-15,Crítica
Lucas Oliveira Santos,lucas.santos@saudetech.com.br,ClinicaGPT,"O sistema apresenta falhas críticas na criptografia TLS durante a transmissão de dados em trânsito, especificamente na camada de transporte entre os módulos de integração HL7 FHIR e os bancos de dados NoSQL. Observamos que 15% das requisições diárias sofrem handshake incompleto ou renegociações TLS falhas, resultando em pacotes não criptografados expostos temporariamente. Esses eventos ocorrem predominantemente entre 18h e 23h, horário de pico das operações clínicas, impactando cerca de 2000 transações sensíveis por dia. Financeiramente, a exposição potencial ocasiona riscos significativos de multas por não conformidade com LGPD, estimados em até R$ 500 mil caso haja vazamento de dados. A auditoria interna registrou 27 incidentes nos últimos 7 dias com logs ELK indicando falhas de cipher suite incompatíveis e sessões retransmitidas sem criptografia válida. Recomendamos revisão urgente do protocolo TLS e atualização dos certificados digitais para mitigar esta vulnerabilidade crítica.",2025-04-15,Crítica
Mariana Oliveira Silva,mariana.silva@educaonline.com.br,EduMentor AI,"Detalhamento dos problemas encontrados com a personalização do conteúdo no EduMentor AI:

1. Taxa de insucesso de 15% nos quizzes adaptativos especificamente em instituições de ensino superior parceiras, afetando aproximadamente 22% dos usuários ativos nessas instituições.
2. Impacto financeiro estimado em perda de renovação contratual de 8% com clientes corporativos do segmento educacional devido à insatisfação com a adaptatividade do sistema.
3. Problema identificado em 37 ocorrências registradas no último mês, com pico de falhas entre 18h00 e 22h00, horário de maior acesso dos alunos.
4. Erros relacionados à inconsistência na geração dinâmica de exemplos e exercícios, com falhas no algoritmo de ajuste de nível cognitivo detectadas em logs do sistema e métricas de Prometheus.
5. Monitoramento via Grafana indica variações anômalas no tempo de resposta do microserviço de personalização durante picos de acesso, impactando a experiência do usuário final.
6. Falhas na integração com APIs REST de plataformas LMS parceiras, ocasionando atraso na sincronização de dados de progresso e, consequentemente, ajustes inadequados no plano de ensino.

Solicitamos análise detalhada do pipeline de aprendizado adaptativo e revisão do modelo de feedback contínuo para mitigação dos problemas citados.",2025-04-15,Alta
Renata Oliveira Cavalcanti,renata.cavalcanti@startup.io,CourseGen Studio,"No ambiente de produção do CourseGen Studio utilizado pela startup EdTech Innovators, foi detectado um problema crítico de fall-back na criação automatizada de conteúdo didático. Especificamente, durante os horários de pico entre 14h e 18h, a plataforma apresenta erros HTTP 500 ou respostas vazias em aproximadamente 30% das requisições de geração de materiais educacionais. Este comportamento anômalo foi monitorado via logs integrados no ELK Stack e métricas do Prometheus, que evidenciam um aumento significativo na latência dos endpoints do serviço de geração de conteúdo. A sobrecarga do modelo de IA generativa, possivelmente devido a limitações do GPT-4 API e restrições de capacidade no cluster Kubernetes, impacta diretamente a experiência do usuário final, causando falha na exportação e revisão de módulos pedagógicos. O problema ocorre em média 45 vezes por dia durante o período crítico, afetando 15% dos usuários ativos da conta EdTech Innovators, com um impacto estimado em perda de receita de cerca de R$ 12.000 mensais devido a atrasos e insatisfação dos clientes finais. Investigações preliminares indicam necessidade de otimização da escalabilidade horizontal e ajustes nos parâmetros de fallback para garantir alta disponibilidade e continuidade do serviço conforme SLA estipulado.",2025-03-12,Alta
Eduardo Henrique Cavalcanti,eduardo.cavalcanti@healthmind.io,ClinicaGPT,"Identificamos que a interface conversacional do ClinicaGPT apresenta respostas incoerentes e fora de contexto em aproximadamente 12% das interações diárias realizadas por nossa equipe médica. Esse comportamento está impactando diretamente a eficiência dos atendimentos clínicos, gerando retrabalho estimado em cerca de 15 horas semanais e um custo adicional aproximado de R$7.500 por mês devido à necessidade de revisão manual das informações geradas. Observamos que os episódios de respostas incoerentes ocorrem preferencialmente durante os picos de acesso, das 14h às 17h, quando a demanda por consultas simultâneas atinge 350 usuários, indicando possível problema de escalabilidade ou degradação do modelo LLM otimizado para linguagem médica. Além disso, os logs do Prometheus e ELK Stack registram um aumento significativo na latência média das consultas NLP, ultrapassando 650ms nestes horários críticos, contrariando o requisito não funcional de baixa latência (idealmente abaixo de 500ms). Esse comportamento compromete a confiabilidade da solução, requerendo análise detalhada do fine-tuning aplicado e da performance do backend Python-FastAPI em ambientes Kubernetes com autoescalonamento.",2025-03-12,Alta
Lucas Henrique Oliveira,lucas.oliveira@eduvance.io,EduMentor AI,"Durante os períodos críticos de alta demanda, como as provas finais e matrículas, o sistema de EduMentor AI apresenta falhas severas de escalabilidade resultando em indisponibilidade para até 50% dos usuários simultâneos. Os principais sintomas incluem latência média superior a 5 segundos para respostas adaptativas, erros 503 frequentes em APIs REST integradas com plataformas LMS, e falhas no balanceamento automático de carga Kubernetes. Esse comportamento ocorreu em 3 eventos nos últimos 2 meses, sempre no intervalo das 18h às 23h, quando a quantidade de requisições ultrapassa 25.000 por minuto. O impacto financeiro estimado com perda de acessos e suporte técnico adicional é superior a R$150.000 por evento. Além disso, a experiência do usuário é significativamente degradada, afetando diretamente a percepção do produto e a retenção de clientes institucionais.",2025-04-15,Crítica
Fernanda Oliveira Schmidt,fernanda.schmidt@bancoinnovar.com.br,FinBrain,"Requisitos Funcionais:
- Interpretação e processamento de consultas em linguagem natural relacionadas a dados financeiros corporativos.
- Geração de relatórios e insights financeiros explicáveis e acionáveis baseados em análises de dados históricos e projeções.
- Suporte a múltiplos usuários com diferentes perfis (executivos, controllers, analistas).
- Exportação de relatórios gerados para formatos padrão (PDF, Excel, etc.).
- Atualização automática e contínua dos dados financeiros integrados.

Requisitos Não Funcionais:
- Alta disponibilidade e tolerância a falhas para uso corporativo crítico.
- Segurança robusta garantindo a privacidade e confidencialidade dos dados financeiros.
- Baixa latência na resposta às consultas dos usuários.
- Escalabilidade horizontal para suportar aumento de volume de dados e usuários.

Ferramentas Utilizadas:
- Linguagens: Python e TypeScript para backend e frontend.
- Frameworks de IA: TensorFlow e PyTorch para modelos de NLP e previsão financeira.
- Modelos: Transformers customizados para interpretação de linguagem natural aplicados a finanças.
- Banco de dados: PostgreSQL para dados transacionais, Data Warehouse baseado em Redshift para análises históricas.

Abordagem:
- Uso de modelos de linguagem treinados especificamente em grandes datasets financeiros.
- Pipeline de ETL para ingestão e limpeza dos dados financeiros de diversas fontes.
- Implementação de explainability para IA usando SHAP e LIME para tornar os insights compreensíveis.

Integrações:
- Integração com ERPs financeiros via APIs REST para atualização dos dados.
- Conexão com sistemas de BI como Power BI e Tableau para visualização avançada.
- Ferramentas de observabilidade como Prometheus para métricas e Grafana para dashboards em tempo real.

Deploy:
- Deploy em Kubernetes para orquestração de containers Docker garantindo alta disponibilidade.
- Uso de CI/CD com Jenkins para automatização de testes e deploys.

Fonte de Dados:
- Integração com sistemas internos de contabilidade, ERP e bancos de dados financeiros.
- Consumo de dados financeiros públicos para enriquecimento das análises.

Privacidade:
- Criptografia de dados em repouso e em trânsito.
- Políticas de acesso baseado em roles e autenticação multi-fator.

Escalabilidade:
- Arquitetura baseada em microserviços para escalabilidade independente de componentes.
- Suporte para milhares de usuários simultâneos.
- Otimização de uso de memória por meio de cache de consultas frequentes e modelos leves para inferência.

Versionamento:
- Versionamento dos modelos de NLP e pipelines via MLflow.
- Controle de versões dos prompts para IA com logs de alterações para auditoria e melhoria contínua.

Detalhes do problema:
- Métricas de observabilidade indicam drift semântico nos modelos NLP após atualizações trimestrais, afetando a acurácia dos insights financeiros em cerca de 10% das consultas.
- Impacto estimado: redução de 8% na confiança das análises para a equipe de controllers, causando retrabalho e decisões financeiras adiadas.
- Frequência do problema: observado em 3 das 4 atualizações trimestrais no último ano.
- Horários críticos: maior incidência entre 14h e 17h, período de maior volume de consultas simultâneas.
- Sistemas afetados: módulos de interpretação de linguagem natural e geração de relatórios financeiros automáticos.
- Monitoramento: Prometheus captura aumento de latência média de 20% e picos de erro 5xx relacionados às chamadas aos modelos NLP.
- Logs indicam que o drift impacta modelos responsáveis pela interpretação de consultas complexas envolvendo projeções financeiras e análises históricas.
- A equipe de BI reportou inconsistências em dashboards integrados via Tableau após atualizações, impactando a visualização de KPIs financeiros chave.",2025-04-15,Alta
Mariana Oliveira Silva,mariana.oliveira@educartech.com.br,CourseGen Studio,"Durante os horários de pico (14h-18h), observamos que o módulo de geração automática de conteúdo do CourseGen Studio está apresentando falhas críticas. Aproximadamente 30% das requisições para criação de materiais didáticos retornam erros HTTP 500 ou respostas vazias, indicando uma possível sobrecarga no serviço de inferência dos modelos de IA generativa. Esse comportamento foi detectado em nossa análise de logs ELK, com picos de erros concentrados entre 14h30 e 17h45, afetando cerca de 18% da base total de usuários simultâneos neste período. O impacto financeiro estimado é de uma perda de produtividade de cerca de 25 horas-homem semanais na equipe pedagógica, além de atrasos significativos nos prazos de entrega dos cursos personalizados. Recomendamos a análise do escalonamento automático do Kubernetes Horizontal Pod Autoscaler (HPA) e otimizações no pipeline de inferência GPT-4 para mitigar os gargalos observados.",2025-04-27,Alta
